region,cs,freq,ml,el,wc,tweet,author,lat,lon,Cebu,34.75%,2148, Dumaguete,7.67%,474, Davao,27.64%,1709, CDO,29.94%,1851,6182
o,,,,,1," ""#iggyAzalea"" "," ""andrea8211999",8.484668,124.664759,,,,,,,,,,,,,
v,,,,,1, *sa, Catharine_Brynn,7.084521,125.603698,,,,,,,,,,,,,
c,,,,,1, Zzz, claricearianne_,10.24535,123.843559,,,,,,,,,,,,,
c,,,,,1, but.. :'((((, jesslabor,10.325919,123.878734,,,,,,,,,,,,,
c,,,,,1, GoodNight....., BabygoorLyza,10.240007,123.780414,,,,,,,,,,,,,
c,,,,,1," ""Goodnight"" "," ""thezcometa",10.382916,123.91928,,,,,,,,,,,,,
v,,,,,1, Jwu, leaxdelacruz,7.088943,125.62884,,,,,,,,,,,,,
c,,,,,1, Yawa, dericksestoso,10.283631,123.962295,,,,,,,,,,,,,
d,,,,,1, Yeah.., iAmSuperNhan,9.285523,123.290888,,,,,,,,,,,,,
o,,,,,1, Gaga!, cottoncndydream,8.483187,124.655561,,,,,,,,,,,,,
v,,,,,1," ""teamaces :(""  "," ""TEEN__TOP",7.107943,125.623105,,,,,,,,,,,,,
o,,,,,1, Hiiiiiiiiiiii, bernardoxchandy,8.487088,124.639032,,,,,,,,,,,,,
o,,,,,1, Idk, hazelfaelnar07,8.473311,124.657606,,,,,,,,,,,,,
d,,,,,1, Goodluck, theawezume,9.316729,123.306176,,,,,,,,,,,,,
o,,,,,1, Anew, SugJASEtion,8.459436,124.617858,,,,,,,,,,,,,
o,,,,,1," ""Tsk.""      "," ""ijyan_",8.453888,124.62133,,,,,,,,,,,,,
o,,,,,1, niight, rabadabadon,8.482683,124.734542,,,,,,,,,,,,,
o,,,,,1," ""#halloween"" "," ""andrea8211999",8.484668,124.664759,,,,,,,,,,,,,
c,,,,,1, \u2665, Carlamaecoco,10.33308,123.956717,,,,,,,,,,,,,
c,,,,,1, #MasOkayKung. .........................., ruzbon13,10.350699,123.92642,,,,,,,,,,,,,
v,,,,,1, Bye, mileesguinoo,7.068094,125.6088,,,,,,,,,,,,,
v,,,,,1, Jgh, iimmariacarla,7.536684,125.623388,,,,,,,,,,,,,
c,,,,,1, Charnessh., DanaDiadem,10.272671,123.848876,,,,,,,,,,,,,
c,,,,,1, Brownout :(, adrian_rix,10.372536,123.923977,,,,,,,,,,,,,
o,,,,,1, HAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH, JianEXE,8.504641,124.606474,,,,,,,,,,,,,
v,,,,,1, gutom!, 0f8bb0a01ac843e,7.066326,125.609357,,,,,,,,,,,,,
c,,,,,1, Woooww!, reaaalala,10.252095,123.807048,,,,,,,,,,,,,
o,,,,,1, Jwu, Jick_Sparrow,8.468267,124.648225,,,,,,,,,,,,,
o,,,,,1, Uhhhm. ., SugJASEtion,8.459472,124.617877,,,,,,,,,,,,,
v,,,,,1, Nakakapagtaka, assejperez,7.105624,125.61732,,,,,,,,,,,,,
o,,,,,2," ""Good morning. :)"," ""angelashekinah",8.493529,124.613661,,,,,,,,,,,,,
o,,,,,2," ""Good morning :)"," ""SugJASEtion",8.459449,124.617886,,,,,,,,,,,,,
v,,,,,2," ""@RoonRoooon Yieee""  "," ""daniellefanlo",7.050715,125.588731,,,,,,,,,,,,,
v,,,,,2," ""@RoonRoooon kelegzzz""  "," ""daniellefanlo",7.050691,125.588658,,,,,,,,,,,,,
v,,,,,2," ""3465 messages""  "," ""joneeanglim",7.093963,125.626721,,,,,,,,,,,,,
v,,,,,2," ""@mamoyboy yes""  "," ""iamsuperdemai",7.101051,125.58637,,,,,,,,,,,,,
o,,,,,2," ""sanay nako"," ""mithyaaat",8.825323,125.103734,,,,,,,,,,,,,
o,,,,,2," ""@Valeerooy :3"," ""mithyaaat",8.825323,125.103734,,,,,,,,,,,,,
v,,,,,2, @Regwapa ew, dymphbaaco,7.077935,125.622943,,,,,,,,,,,,,
o,,,,,2, nasaan kana?, kemmyalgs,8.454057,124.635178,,,,,,,,,,,,,
o,,,,,2, Mag uniform?   , porksisiig,8.510271,124.776793,,,,,,,,,,,,,
v,,,,,2, Good night!, RanSheeran,7.067504,125.596925,,,,,,,,,,,,,
v,,,,,2, this feeling :), thekingjiim,7.121895,125.627552,,,,,,,,,,,,,
o,,,,,2, DJ bungi, kahniellovers,8.487059,124.598109,,,,,,,,,,,,,
d,,,,,2, Moka oi!, JAmesJaCman,9.296552,123.294183,,,,,,,,,,,,,
v,,,,,2, favoritism hahahaha, eeyjhunnacano,7.039271,125.496102,,,,,,,,,,,,,
v,,,,,2, @Alliumcaeruleum 1, andringgg,7.060187,125.57113,,,,,,,,,,,,,
v,,,,,2, @Jeeeeeybi oksge, erlynmargaret,7.122502,125.615695,,,,,,,,,,,,,
o,,,,,2, At magis, ijyan_,8.47681,124.646847,,,,,,,,,,,,,
v,,,,,2, Sleepy pako ., beyyachii,7.087619,125.51142,,,,,,,,,,,,,
c,,,,,2, \ud83d\ude12, chacalips,10.300264,123.898285,,,,,,,,,,,,,
d,,,,,2, @ambakjulian gaaaaah, supershan26,9.25504,123.29577,,,,,,,,,,,,,
o,,,,,2, Klase nasad~, kyayagurl,8.819226,125.097727,,,,,,,,,,,,,
c,,,,,2, Kamingaw. Hayssss, jobhelaxxi,10.303542,123.899866,,,,,,,,,,,,,
c,,,,,2, #mta later., carlbautista3,10.312584,123.918564,,,,,,,,,,,,,
v,,,,,2, hmm busit!, driaguerra,7.017732,125.493556,,,,,,,,,,,,,
v,,,,,2, atik lng, ChelseCabrera,7.140102,125.586726,,,,,,,,,,,,,
o,,,,,2, Good Morning!, ijyan_,8.47681,124.646847,,,,,,,,,,,,,
o,,,,,2, Mao lang.., pikopott,8.474651,124.693954,,,,,,,,,,,,,
v,,,,,2, what if?, thekingjiim,7.121895,125.627552,,,,,,,,,,,,,
c,,,,,2, Good morning, ShinitaAngel,10.273739,123.845501,,,,,,,,,,,,,
o,,,,,2, Big dope, andrea8211999,8.484631,124.664813,,,,,,,,,,,,,
o,,,,,2, \ud83d\ude22, WuJinDota,8.468785,124.646406,,,,,,,,,,,,,
d,,,,,2, @chezkerls who, mxnfontelo,9.358444,123.283962,,,,,,,,,,,,,
c,,,,,2," ""@taralalalalala #Inspired"" "," ""DanaDiadem",10.272719,123.848912,,,,,,,,,,,,,
o,,,,,2," ""@greyquinal niiice! :)""      "," ""porksisiig",8.510269,124.776797,,,,,,,,,,,,,
d,,,,,2, Good night, mxnfontelo,9.358405,123.283964,,,,,,,,,,,,,
o,,,,,2, Puyo lage, Shainafrancis,8.44725,124.644352,,,,,,,,,,,,,
v,,,,,2, Oyyyy. @hellorosemarie, Alysseeeeey18,7.337973,125.613397,,,,,,,,,,,,,
o,,,,,2, Support \u2665, _Ainaneninonu,8.236821,124.242935,,,,,,,,,,,,,
v,,,,,2, Mangutana paka ?, singgaaayl,7.063046,125.602391,,,,,,,,,,,,,
c,,,,,2, Tog sko, _RJumawan,10.29729,123.891522,,,,,,,,,,,,,
o,,,,,2, Kieferrrrr huhu, EmmaOhdeva,8.471051,124.687584,,,,,,,,,,,,,
v,,,,,2, muvi hahaha, VKmylabss,7.087144,125.611906,,,,,,,,,,,,,
c,,,,,2, Keep talkin, ishabellalove_,10.305781,124.002815,,,,,,,,,,,,,
v,,,,,2, Wawarts day, sweeeetigbalic,7.121337,125.645887,,,,,,,,,,,,,
o,,,,,2, Unya nlang   , RojchAbejo,8.467375,124.645226,,,,,,,,,,,,,
c,,,,,2, Antok ako, sheskateeeee,10.314277,123.910112,,,,,,,,,,,,,
c,,,,,2, @ChristineLoveCD *nod*, kishahahaha_,10.308755,123.905458,,,,,,,,,,,,,
o,,,,,2, Away nalang, Shainafrancis,8.44725,124.644352,,,,,,,,,,,,,
c,,,,,2, Goodmorning. \u2600, chimneyglazeA,10.30987,123.88088,,,,,,,,,,,,,
o,,,,,2, Rain again, andrea8211999,8.484631,124.664826,,,,,,,,,,,,,
o,,,,,2, kapoya uy, kemmyalgs,8.454057,124.635178,,,,,,,,,,,,,
o,,,,,2, @nicalibunao hi, ErlynLibunao,8.44362,124.64172,,,,,,,,,,,,,
c,,,,,2, Goodmorning \u2614, adelaidepilapil,10.397013,123.967311,,,,,,,,,,,,,
c,,,,,2, Good Nightyyy :), JimsAJGuido25,10.387678,123.986362,,,,,,,,,,,,,
v,,,,,2, @GerrickC A, chrstnjoseph,7.12559,125.61777,,,,,,,,,,,,,
v,,,,,2, @jejejejeng haha :), arAhshiitah26,7.054224,125.590217,,,,,,,,,,,,,
o,,,,,2," \""@ambibisha: beb :')\""", hazelfaelnar07,8.474251,124.657296,,,,,,,,,,,,,
o,,,,,2, @AprilSayle Please :(, _Ainaneninonu,8.236821,124.242935,,,,,,,,,,,,,
c,,,,,2, \ud83c\udf1e, thisisRAYality,10.340819,123.915467,,,,,,,,,,,,,
o,,,,,2, Stupid reasons, SugJASEtion,8.459478,124.617903,,,,,,,,,,,,,
v,,,,,2, Drive- Incubus, jaredbestgee,7.087971,125.614986,,,,,,,,,,,,,
o,,,,,2, Busiest day., ritchrojo,8.481594,124.654119,,,,,,,,,,,,,
o,,,,,2, Don't, HungJiden,8.47413,124.715479,,,,,,,,,,,,,
o,,,,,2, Bitch Boguz, JianEXE,8.504641,124.606473,,,,,,,,,,,,,
c,,,,,2, @clairegiganto eeeewwww, AlyzaRegina,10.295623,123.870596,,,,,,,,,,,,,
c,,,,,2, Wawawa gutom, wphalfweirdope,10.318923,123.908424,,,,,,,,,,,,,
o,,,,,2, @elinmayarias hhaahaha..., adiksayoSARAHG,8.479432,124.627994,,,,,,,,,,,,,
